
19,2,1,1,1,2,3,2,2,1,0,NaN,23,1.41689801216125,54
19,2,1,2,1,4,3,2,4,3,NaN,1,43,1.50108003616333,51
19,2,1,3,1,1,3,1,3,1,1,NaN,13,1.14425086975098,57
19,2,1,4,1,3,4,1,4,3,NaN,1,34,1.44426393508911,63
19,2,1,5,1,4,3,1,3,3,NaN,0,43,1.36121296882629,66
19,2,1,6,1,3,4,2,3,3,NaN,0,34,1.22993683815002,61
19,2,1,7,1,1,2,2,1,2,NaN,0,12,1.30246615409851,34
19,2,1,8,1,4,3,1,3,3,NaN,0,43,1.27806305885315,57
19,2,1,9,1,2,3,2,2,1,0,NaN,23,1.68082284927368,18
19,2,1,10,1,2,4,1,4,1,1,NaN,24,1.77024102210999,32
19,2,1,11,1,1,4,1,4,1,1,NaN,14,1.34649014472961,53
19,2,1,12,1,1,4,1,4,1,1,NaN,14,1.63073396682739,46
19,2,1,13,1,2,4,2,2,1,0,NaN,24,1.44360399246216,37
19,2,1,14,1,1,3,1,3,1,1,NaN,13,1.28337907791138,55
19,2,1,15,1,1,4,1,4,1,1,NaN,14,1.48027920722961,62
19,2,1,16,1,1,4,1,4,1,1,NaN,14,1.67351889610291,72
19,2,1,17,1,4,1,2,4,1,1,NaN,41,1.21752715110779,83
19,2,1,18,1,3,1,1,1,1,0,NaN,31,1.5997850894928,40
19,2,1,19,1,3,1,2,3,1,1,NaN,31,1.50916314125061,57
19,2,1,20,1,1,3,1,3,1,1,NaN,13,1.45335817337036,46
19,2,1,21,1,3,4,2,3,3,NaN,0,34,1.26654291152954,60
19,2,1,22,1,4,2,2,4,1,1,NaN,42,1.18553900718689,77
19,2,1,23,1,2,3,2,2,1,0,NaN,23,1.82048296928406,30
19,2,1,24,1,3,4,2,3,3,NaN,0,34,1.57255792617798,53
19,2,1,25,1,1,3,2,1,1,0,NaN,13,1.53110289573669,40
19,2,1,26,1,3,1,1,1,1,0,NaN,31,1.35329294204712,42
19,2,1,27,1,4,2,2,4,1,1,NaN,42,1.28714299201965,38
19,2,1,28,1,3,1,1,1,1,0,NaN,31,1.584312915802,47
19,2,1,29,1,1,2,1,2,2,NaN,1,12,1.57265186309814,38
19,2,1,30,1,4,1,1,1,1,0,NaN,41,1.36059880256653,43
19,2,1,31,1,2,3,2,2,1,0,NaN,23,1.66492199897766,26
19,2,1,32,1,2,1,2,2,2,NaN,1,21,1.55064916610718,28
19,2,1,33,1,4,2,2,4,1,1,NaN,42,1.63890814781189,88
19,2,1,34,1,1,2,2,1,2,NaN,0,12,1.49376106262207,33
19,2,1,35,1,3,2,2,3,1,1,NaN,32,1.47370386123657,57
19,2,1,36,1,3,2,2,3,1,1,NaN,32,1.74718999862671,63
19,2,1,37,1,4,2,2,4,1,1,NaN,42,2.13686919212341,65
19,2,1,38,1,1,3,1,3,1,1,NaN,13,1.87178301811218,64
19,2,1,39,1,2,3,2,2,1,0,NaN,23,1.23598504066467,71
19,2,1,40,1,2,4,2,2,1,0,NaN,24,1.18300104141235,62
19,2,1,41,1,4,2,2,4,1,1,NaN,42,1.71672987937927,67
19,2,1,42,1,1,2,2,1,2,NaN,0,12,1.58165097236633,52
19,2,1,43,1,1,4,2,1,1,0,NaN,14,1.8241879940033,44
19,2,1,44,1,3,2,2,3,1,1,NaN,32,1.7652268409729,51
19,2,1,45,1,1,4,2,1,1,0,NaN,14,1.32918119430542,39
19,2,1,46,1,2,1,2,2,2,NaN,1,21,1.58833193778992,30
19,2,1,47,1,2,3,2,2,1,0,NaN,23,2.17105078697205,38
19,2,1,48,1,2,4,2,2,1,0,NaN,24,1.65619611740112,55
19,2,1,49,1,2,3,2,2,1,0,NaN,23,1.44428205490112,31
